Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
,Participation,Projects Team,55-69yrs,,100,,,,,100
,Participation,Projects Team,40-55yrs,,100,,,,,100
,Participation,Projects Team,25-39yrs,,100,,,,,100
,Participation,Projects Team,Disabled/access required,,100,,,,,100
,Participation,Projects Team,Members & their staff,,100,,,,,100
,Participation,Projects Team,18-24yrs (students),,100,,,,,100
,Participation,Projects Team,Domestic UK,,100,,,,,100
,Participation,Projects Team,18-24yrs,,100,,,,,100
,Participation,Projects Team,14-16yrs,,100,,,,,100
,Participation,Projects Team,11-14yrs,,100,,,,,100
,Participation,Projects Team,7-11yrs,,100,,,,,100
,Participation,Projects Team,16-19yrs,,100,,,,,100
,Participation,Projects Team,5-7yrs,,100,,,,,100
,Participation,Projects Team,0-5yrs,,100,,,,,100
,Participation,Visitor Services,Family,,100,,,,,100
,Participation,Visitor Services,BAME,,100,,,,,100
,Participation,Visitor Services,Women,,100,,,,,100
,Participation,Visitor Services,HoC/HoL staff,,100,,,,,100
,Participation,Visitor Services,70+,,100,,,,,100
,Participation,Visitor Services,55-69yrs,,100,,,,,100
,Participation,Visitor Services,40-55yrs,,100,,,,,100
,Participation,Visitor Services,25-39yrs,,100,,,,,100
,Participation,Visitor Services,Disabled/access required,,100,,,,,100
,Participation,Visitor Services,Members & their staff,,100,,,,,100
,Participation,Visitor Services,18-24yrs (students),,100,,,,,100
,Participation,Visitor Services,Domestic UK,,100,,,,,100
,Participation,Visitor Services,18-24yrs,,100,,,,,100
,Participation,Visitor Services,14-16yrs,,100,,,,,100
,Participation,Visitor Services,11-14yrs,,100,,,,,100
,Participation,Visitor Services,7-11yrs,,100,,,,,100
,Participation,Visitor Services,16-19yrs,,100,,,,,100
,Participation,Visitor Services,5-7yrs,,100,,,,,100
,Participation,Visitor Services,0-5yrs,,100,,,,,100
,Participation,Select Committees,Family,,100,,,,,100
,Participation,Select Committees,BAME,,100,,,,,100
,Participation,Select Committees,Women,,100,,,,,100
,Participation,Select Committees,HoC/HoL staff,,100,,,,,100
,Participation,Select Committees,70+,,100,,,,,100
,Participation,Select Committees,55-69yrs,,100,,,,,100
,Participation,Select Committees,40-55yrs,,100,,,,,100
,Participation,Select Committees,25-39yrs,,100,,,,,100
,Participation,Select Committees,Disabled/access required,,100,,,,,100
,Participation,Select Committees,Members & their staff,,100,,,,,100
,Participation,Select Committees,18-24yrs (students),,100,,,,,100
,Participation,Select Committees,Domestic UK,,100,,,,,100
,Participation,Select Committees,18-24yrs,,100,,,,,100
,Participation,Select Committees,14-16yrs,,100,,,,,100
,Participation,Select Committees,11-14yrs,,100,,,,,100
,Participation,Select Committees,7-11yrs,,100,,,,,100
,Participation,Select Committees,16-19yrs,,100,,,,,100
,Participation,Select Committees,5-7yrs,,100,,,,,100
,Participation,Select Committees,0-5yrs,,100,,,,,100
,Participation,2018 Anniversaries,Family,,100,,,,,100
,Participation,2019 Anniversaries,BAME,,100,,,,,100
,Participation,2020 Anniversaries,Women,,100,,,,,100
,Participation,2021 Anniversaries,HoC/HoL staff,,100,,,,,100
,Participation,2022 Anniversaries,70+,,100,,,,,100
,Participation,2023 Anniversaries,55-69yrs,,100,,,,,100
,Participation,2024 Anniversaries,40-55yrs,,100,,,,,100
,Participation,2025 Anniversaries,25-39yrs,,100,,,,,100
,Participation,2026 Anniversaries,Disabled/access required,,100,,,,,100
,Participation,2027 Anniversaries,Members & their staff,,100,,,,,100
,Participation,2028 Anniversaries,18-24yrs (students),,100,,,,,100
,Participation,2029 Anniversaries,Domestic UK,,100,,,,,100
,Participation,2030 Anniversaries,18-24yrs,,100,,,,,100
,Participation,2031 Anniversaries,14-16yrs,,100,,,,,100
,Participation,2032 Anniversaries,11-14yrs,,100,,,,,100
,Participation,2033 Anniversaries,7-11yrs,,100,,,,,100
,Participation,2034 Anniversaries,16-19yrs,,100,,,,,100
,Participation,2035 Anniversaries,5-7yrs,,100,,,,,100
,Participation,2036 Anniversaries,0-5yrs,,100,,,,,100
,Participation,Enquiries,Family,,100,,,,,100
,Participation,Enquiries,BAME,,100,,,,,100
,Participation,Enquiries,Women,,100,,,,,100
,Participation,Enquiries,HoC/HoL staff,,100,,,,,100
,Participation,Enquiries,70+,,100,,,,,100
,Participation,Enquiries,55-69yrs,,100,,,,,100
,Participation,Enquiries,40-55yrs,,100,,,,,100
,Participation,Enquiries,25-39yrs,,100,,,,,100
,Participation,Enquiries,Disabled/access required,,100,,,,,100
,Participation,Enquiries,Members & their staff,,100,,,,,100
,Participation,Enquiries,18-24yrs (students),,100,,,,,100
,Participation,Enquiries,Domestic UK,,100,,,,,100
,Participation,Enquiries,18-24yrs,,100,,,,,100
,Participation,Enquiries,14-16yrs,,100,,,,,100
,Participation,Enquiries,11-14yrs,,100,,,,,100
,Participation,Enquiries,7-11yrs,,100,,,,,100
,Participation,Enquiries,16-19yrs,,100,,,,,100
,Participation,Enquiries,5-7yrs,,100,,,,,100
,Participation,Enquiries,0-5yrs,,100,,,,,100
,Participation,Outreach and Engagement,Family,,100,,,,,100
,Participation,Outreach and Engagement,BAME,,100,,,,,100
,Participation,Outreach and Engagement,Women,,100,,,,,100
,Participation,Outreach and Engagement,HoC/HoL staff,,100,,,,,100
,Participation,Outreach and Engagement,70+,,100,,,,,100
,Participation,Outreach and Engagement,55-69yrs,,100,,,,,100
,Participation,Outreach and Engagement,40-55yrs,,100,,,,,100
,Participation,Outreach and Engagement,25-39yrs,,100,,,,,100
,Participation,Outreach and Engagement,Disabled/access required,,100,,,,,100
,Participation,Outreach and Engagement,Members & their staff,,100,,,,,100
,Participation,Outreach and Engagement,18-24yrs (students),,100,,,,,100
,Participation,Outreach and Engagement,Domestic UK,,100,,,,,100
,Participation,Outreach and Engagement,18-24yrs,,100,,,,,100
,Participation,Outreach and Engagement,14-16yrs,,100,,,,,100
,Participation,Outreach and Engagement,11-14yrs,,100,,,,,100
,Participation,Outreach and Engagement,7-11yrs,,100,,,,,100
,Participation,Outreach and Engagement,16-19yrs,,100,,,,,100
,Participation,Outreach and Engagement,5-7yrs,,100,,,,,100
,Participation,Outreach and Engagement,0-5yrs,,100,,,,,100
,Participation,Learning Projects,Family,,100,,,,,100
,Participation,Learning Projects,BAME,,100,,,,,100
,Participation,Learning Projects,Women,,100,,,,,100
,Participation,Learning Projects,HoC/HoL staff,,100,,,,,100
,Participation,Learning Projects,70+,,100,,,,,100
,Participation,Learning Projects,55-69yrs,,100,,,,,100
,Participation,Learning Projects,40-55yrs,,100,,,,,100
,Participation,Learning Projects,25-39yrs,,100,,,,,100
,Participation,Learning Projects,Disabled/access required,,100,,,,,100
,Participation,Learning Projects,Members & their staff,,100,,,,,100
,Participation,Learning Projects,18-24yrs (students),,100,,,,,100
,Participation,Learning Projects,Domestic UK,,100,,,,,100
,Participation,Learning Projects,18-24yrs,,100,,,,,100
,Participation,Learning Projects,14-16yrs,,100,,,,,100
,Participation,Learning Projects,11-14yrs,,100,,,,,100
,Participation,Learning Projects,7-11yrs,,100,,,,,100
,Participation,Learning Projects,16-19yrs,,100,,,,,100
,Participation,Learning Projects,5-7yrs,,100,,,,,100
,Participation,Learning Projects,0-5yrs,,100,,,,,100
,Participation,Digital Planning,Family,,100,,,,,100
,Participation,Digital Planning,BAME,,100,,,,,100
,Participation,Digital Planning,Women,,100,,,,,100
,Participation,Digital Planning,HoC/HoL staff,,100,,,,,100
,Participation,Digital Planning,70+,,100,,,,,100
,Participation,Digital Planning,55-69yrs,,100,,,,,100
,Participation,Digital Planning,40-55yrs,,100,,,,,100
,Participation,Digital Planning,25-39yrs,,100,,,,,100
,Participation,Digital Planning,Disabled/access required,,100,,,,,100
,Participation,Digital Planning,Members & their staff,,100,,,,,100
,Participation,Digital Planning,18-24yrs (students),,100,,,,,100
,Participation,Digital Planning,Domestic UK,,100,,,,,100
,Participation,Digital Planning,18-24yrs,,100,,,,,100
,Participation,Digital Planning,14-16yrs,,100,,,,,100
,Participation,Digital Planning,11-14yrs,,100,,,,,100
,Participation,Digital Planning,7-11yrs,,100,,,,,100
,Participation,Digital Planning,16-19yrs,,100,,,,,100
,Participation,Digital Planning,5-7yrs,,100,,,,,100
,Participation,Digital Planning,0-5yrs,,100,,,,,100
,Participation,Digital Outreach,Family,,100,,,,,100
,Participation,Digital Outreach,BAME,,100,,,,,100
,Participation,Digital Outreach,Women,,100,,,,,100
,Participation,Digital Outreach,HoC/HoL staff,,100,,,,,100
,Participation,Digital Outreach,70+,,100,,,,,100
,Participation,Digital Outreach,55-69yrs,,100,,,,,100
,Participation,Digital Outreach,40-55yrs,,100,,,,,100
,Participation,Digital Outreach,25-39yrs,,100,,,,,100
,Participation,Digital Outreach,Disabled/access required,,100,,,,,100
,Participation,Digital Outreach,Members & their staff,,100,,,,,100
,Participation,Digital Outreach,18-24yrs (students),,100,,,,,100
,Participation,Digital Outreach,Domestic UK,,100,,,,,100
,Participation,Digital Outreach,18-24yrs,,100,,,,,100
,Participation,Digital Outreach,14-16yrs,,100,,,,,100
,Participation,Digital Outreach,11-14yrs,,100,,,,,100
,Participation,Digital Outreach,7-11yrs,,100,,,,,100
,Participation,Digital Outreach,16-19yrs,,100,,,,,100
,Participation,Digital Outreach,5-7yrs,,100,,,,,100
,Participation,Digital Outreach,0-5yrs,,100,,,,,100
,,Level2,Level3,Level4,,,,,,
