Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total
,Participation,Select Committees,14-16yrs,,,,,,,
,Participation,Select Committees,11-14yrs,,,,,,,
,Participation,Select Committees,7-11yrs,,,,,,,
,Participation,Select Committees,16-19yrs,,,,,,,
,Participation,Select Committees,5-7yrs,,,,,,,
,Participation,Select Committees,0-5yrs,,,,,,,
,Participation,2018 Anniversaries,Family,,,,,,,
,Participation,2019 Anniversaries,BAME,,,,,,,
,Participation,2020 Anniversaries,Women,,,,,,,
,Participation,2021 Anniversaries,HoC/HoL staff,,,,,,,
,Participation,2022 Anniversaries,70+,,,,,,,
,Participation,2023 Anniversaries,55-69yrs,,,,,,,
,Participation,2024 Anniversaries,40-55yrs,,,,,,,
,Participation,2025 Anniversaries,25-39yrs,,,,,,,
,Participation,2026 Anniversaries,Disabled/access required,,,,,,,
,Participation,2027 Anniversaries,Members & their staff,,,,,,,
,Participation,2028 Anniversaries,18-24yrs (students),,,,,,,
,Participation,2029 Anniversaries,Domestic UK,,,,,,,
,Participation,2030 Anniversaries,18-24yrs,,,,,,,
,Participation,2031 Anniversaries,14-16yrs,,,,,,,
,Participation,2032 Anniversaries,11-14yrs,,,,,,,
,Participation,2033 Anniversaries,7-11yrs,,,,,,,
,Participation,2034 Anniversaries,16-19yrs,,,,,,,
,Participation,2035 Anniversaries,5-7yrs,,,,,,,
,Participation,2036 Anniversaries,0-5yrs,,,,,,,
,Participation,Enquiries,Family,,,,,,,
,Participation,Enquiries,BAME,,,,,,,
,Participation,Enquiries,Women,,,,,,,
,Participation,Enquiries,HoC/HoL staff,,,,,,,
,Participation,Enquiries,70+,,,,,,,
,Participation,Enquiries,55-69yrs,,,,,,,
,Participation,Enquiries,40-55yrs,,,,,,,
,Participation,Enquiries,25-39yrs,,,,,,,
,Participation,Enquiries,Disabled/access required,,,,,,,
,Participation,Enquiries,Members & their staff,,,,,,,
,Participation,Enquiries,18-24yrs (students),,,,,,,
,Participation,Enquiries,Domestic UK,,,,,,,
,Participation,Enquiries,18-24yrs,,,,,,,
,Participation,Enquiries,14-16yrs,,,,,,,
,Participation,Enquiries,11-14yrs,,,,,,,
,Participation,Enquiries,7-11yrs,,,,,,,
,Participation,Enquiries,16-19yrs,,,,,,,
,Participation,Enquiries,5-7yrs,,,,,,,
,Participation,Enquiries,0-5yrs,,,,,,,
,Participation,Outreach and Engagement,Family,,,,,,,
,Participation,Outreach and Engagement,BAME,,,,,,,
,Participation,Outreach and Engagement,Women,,,,,,,
,Participation,Outreach and Engagement,HoC/HoL staff,,,,,,,
,Participation,Outreach and Engagement,70+,,,,,,,
,Participation,Outreach and Engagement,55-69yrs,,,,,,,
,Participation,Outreach and Engagement,40-55yrs,,,,,,,
,Participation,Outreach and Engagement,25-39yrs,,,,,,,
,Participation,Outreach and Engagement,Disabled/access required,,,,,,,
,Participation,Outreach and Engagement,Members & their staff,,,,,,,
,Participation,Outreach and Engagement,18-24yrs (students),,,,,,,
,Participation,Outreach and Engagement,Domestic UK,,,,,,,
,Participation,Outreach and Engagement,18-24yrs,,,,,,,
,Participation,Outreach and Engagement,14-16yrs,,,,,,,
,Participation,Outreach and Engagement,11-14yrs,,,,,,,
,Participation,Outreach and Engagement,7-11yrs,,,,,,,
,Participation,Outreach and Engagement,16-19yrs,,,,,,,
,Participation,Outreach and Engagement,5-7yrs,,,,,,,
,Participation,Outreach and Engagement,0-5yrs,,,,,,,
,Participation,Learning Projects,Family,,,,,,,
,Participation,Learning Projects,BAME,,,,,,,
,Participation,Learning Projects,Women,,,,,,,
,Participation,Learning Projects,HoC/HoL staff,,,,,,,
,Participation,Learning Projects,70+,,,,,,,
,Participation,Learning Projects,55-69yrs,,,,,,,
,Participation,Learning Projects,40-55yrs,,,,,,,
,Participation,Learning Projects,25-39yrs,,,,,,,
,Participation,Learning Projects,Disabled/access required,,,,,,,
,Participation,Learning Projects,Members & their staff,,,,,,,
,Participation,Learning Projects,18-24yrs (students),,,,,,,
,Participation,Learning Projects,Domestic UK,,,,,,,
,Participation,Learning Projects,18-24yrs,,,,,,,
,Participation,Learning Projects,14-16yrs,,,,,,,
,Participation,Learning Projects,11-14yrs,,,,,,,
,Participation,Learning Projects,7-11yrs,,,,,,,
,Participation,Learning Projects,16-19yrs,,,,,,,
,Participation,Learning Projects,5-7yrs,,,,,,,
,Participation,Learning Projects,0-5yrs,,,,,,,
,Participation,Digital Planning,Family,,,,,,,
,Participation,Digital Planning,BAME,,,,,,,
,Participation,Digital Planning,Women,,,,,,,
,Participation,Digital Planning,HoC/HoL staff,,,,,,,
,Participation,Digital Planning,70+,,,,,,,
,Participation,Digital Planning,55-69yrs,,,,,,,
,Participation,Digital Planning,40-55yrs,,,,,,,
,Participation,Digital Planning,25-39yrs,,,,,,,
,Participation,Digital Planning,Disabled/access required,,,,,,,
,Participation,Digital Planning,Members & their staff,,,,,,,
,Participation,Digital Planning,18-24yrs (students),,,,,,,
,Participation,Digital Planning,Domestic UK,,,,,,,
,Participation,Digital Planning,18-24yrs,,,,,,,
,Participation,Digital Planning,14-16yrs,,,,,,,
,Participation,Digital Planning,11-14yrs,,,,,,,
,Participation,Digital Planning,7-11yrs,,,,,,,
,Participation,Digital Planning,16-19yrs,,,,,,,
,Participation,Digital Planning,5-7yrs,,,,,,,
,Participation,Digital Planning,0-5yrs,,,,,,,
,Participation,Digital Outreach,Family,,,,,,,
,Participation,Digital Outreach,BAME,,,,,,,
,Participation,Digital Outreach,Women,,,,,,,
,Participation,Digital Outreach,HoC/HoL staff,,,,,,,
,Participation,Digital Outreach,70+,,,,,,,
,Participation,Digital Outreach,55-69yrs,,,,,,,
,Participation,Digital Outreach,40-55yrs,,,,,,,
,Participation,Digital Outreach,25-39yrs,,,,,,,
,Participation,Digital Outreach,Disabled/access required,,,,,,,
,Participation,Digital Outreach,Members & their staff,,,,,,,
,Participation,Digital Outreach,18-24yrs (students),,,,,,,
,Participation,Digital Outreach,Domestic UK,,,,,,,
,Participation,Digital Outreach,18-24yrs,,,,,,,
,Participation,Digital Outreach,14-16yrs,,,,,,,
,Participation,Digital Outreach,11-14yrs,,,,,,,
,Participation,Digital Outreach,7-11yrs,,,,,,,
,Participation,Digital Outreach,16-19yrs,,,,,,,
,Participation,Digital Outreach,5-7yrs,,,,,,,
,Participation,Digital Outreach,0-5yrs,,,,,,,
,,Level2,Level3,Level4,,,,,,
